name,capital,region,countrycode,capital,region,subregion,population,languages,flag
Nauru,NRU,Yaren,Oceania,Micronesia,10084,English,https://restcountries.eu/data/nru.svg
Nepal,NPL,Kathmandu,Asia,Southern Asia,28431500,Nepali,https://restcountries.eu/data/npl.svg
Netherlands,NLD,Amsterdam,Europe,Western Europe,17019800,Dutch,https://restcountries.eu/data/nld.svg
New Caledonia,NCL,Nouméa,Oceania,Melanesia,268767,French,https://restcountries.eu/data/ncl.svg
New Zealand,NZL,Wellington,Oceania,Australia and New Zealand,4697854,English,https://restcountries.eu/data/nzl.svg
Nicaragua,NIC,Managua,Americas,Central America,6262703,Spanish,https://restcountries.eu/data/nic.svg
Niger,NER,Niamey,Africa,Western Africa,20715000,French,https://restcountries.eu/data/ner.svg
Nigeria,NGA,Abuja,Africa,Western Africa,186988000,English,https://restcountries.eu/data/nga.svg
Niue,NIU,Alofi,Oceania,Polynesia,1470,English,https://restcountries.eu/data/niu.svg
Norfolk Island,NFK,Kingston,Oceania,Australia and New Zealand,2302,English,https://restcountries.eu/data/nfk.svg
Korea (Democratic People's Republic of),PRK,Pyongyang,Asia,Eastern Asia,25281000,Korean,https://restcountries.eu/data/prk.svg
Northern Mariana Islands,MNP,Saipan,Oceania,Micronesia,56940,English,https://restcountries.eu/data/mnp.svg
Norway,NOR,Oslo,Europe,Northern Europe,5223256,Norwegian,https://restcountries.eu/data/nor.svg
Oman,OMN,Muscat,Asia,Western Asia,4420133,Arabic,https://restcountries.eu/data/omn.svg
Pakistan,PAK,Islamabad,Asia,Southern Asia,194125062,English,https://restcountries.eu/data/pak.svg
Palau,PLW,Ngerulmud,Oceania,Micronesia,17950,English,https://restcountries.eu/data/plw.svg
"Palestine, State of",PSE,Ramallah,Asia,Western Asia,4682467,Arabic,https://restcountries.eu/data/pse.svg
Panama,PAN,Panama City,Americas,Central America,3814672,Spanish,https://restcountries.eu/data/pan.svg
Papua New Guinea,PNG,Port Moresby,Oceania,Melanesia,8083700,English,https://restcountries.eu/data/png.svg
Paraguay,PRY,Asunción,Americas,South America,6854536,Spanish,https://restcountries.eu/data/pry.svg
Peru,PER,Lima,Americas,South America,31488700,Spanish,https://restcountries.eu/data/per.svg
Philippines,PHL,Manila,Asia,South-Eastern Asia,103279800,English,https://restcountries.eu/data/phl.svg
Pitcairn,PCN,Adamstown,Oceania,Polynesia,56,English,https://restcountries.eu/data/pcn.svg
Poland,POL,Warsaw,Europe,Eastern Europe,38437239,Polish,https://restcountries.eu/data/pol.svg
Portugal,PRT,Lisbon,Europe,Southern Europe,10374822,Portuguese,https://restcountries.eu/data/prt.svg
Puerto Rico,PRI,San Juan,Americas,Caribbean,3474182,Spanish,https://restcountries.eu/data/pri.svg
